Listing,Make,Year_model,Price,Milage,Exterior_color,Interior_color,Transmission,Drivetrain
2013 INFINITI JX35 Base,INFINITI,2013,"$13,888","73,953",White,Brown,CVT,AWD
2012 INFINITI QX56 Base,INFINITI,2012,"$13,495","137,301",Silver,Gray,Automatic,4x4/4-wheel drive
2005 Land Rover LR3 SE,Land,2005,"$3,999","132,989",Black,Black,Automatic,4x4/4-wheel drive
2006 Land Rover LR3,Land,2006,"$4,250","118,610",Red,Beige,Automatic,4x4/4-wheel drive
2013 Nissan Sentra SR,Nissan,2013,"$3,999","64,547",Black,Black,CVT,FWD
2001 Mazda Tribute LX V6,Mazda,2001,"$1,900","117,029",Blue,Gray,Automatic,4x4/4-wheel drive
2006 GMC Envoy Denali,GMC,2006,"$3,995","113,552",Red,Gray,Automatic,4x4/4-wheel drive
2012 Honda Civic Hybrid,Honda,2012,"$4,699","109,961",Gray,Other,CVT,FWD
2011 Mercury Grand Marquis LS,Mercury,2011,"$3,900","103,558",Gray,Silver,Automatic,RWD
2017 Acura MDX Sport Hybrid 3.0L w/Technology Package,Acura,2017,"$26,129","61,058",Black,Black,Automatic,AWD
2007 Audi Q7 4.2 Premium,Audi,2007,"$5,366","132,704",White,Beige,Automatic,AWD
2019 Cadillac XT4 Sport,Cadillac,2019,"$25,500",231,Black,Other,Automatic,FWD
2015 Mitsubishi Outlander Sport ES,Mitsubishi,2015,"$8,500","20,323",Silver,Black,CVT,FWD
2020 Tesla Model 3 Standard Range Plus,Tesla,2020,"$33,900",130,Other,Other,Automatic,RWD
2019 INFINITI QX80 Luxe,INFINITI,2019,"$24,900",18,Gray,Gray,Automatic,AWD
2019 Cadillac XT4 Premium Luxury,Cadillac,2019,"$25,500",717,Blue,Black,Automatic,FWD
2019 Mercedes-Benz AMG GLE 43 4MATIC Coupe,Mercedes-Benz,2019,"$24,900","3,847",Other,Other,Automatic,AWD
2019 Cadillac CT6 Luxury,Cadillac,2019,"$34,900","3,369",White,Other,Automatic,AWD
